"tss_id"	"gene_symbol"	"chr"	"strand"	"promoter"	"position"	"transcripts"
"A1BG_P1"	"A1BG"	"chr19"	"-"	"P1"	58347625	"ENST00000596924"
"A1BG_P2"	"A1BG"	"chr19"	"-"	"P2"	58353463	"ENST00000263100"
"A1CF_P1"	"A1CF"	"chr10"	"-"	"P1"	50885627	"ENST00000374001"
"A2M_P1"	"A2M"	"chr12"	"-"	"P1"	9115919	"ENST00000318602"
"A2ML1_P1"	"A2ML1"	"chr12"	"+"	"P1"	8822621	"ENST00000299698"
"A3GALT2_P1"	"A3GALT2"	"chr1"	"-"	"P1"	33321098	"ENST00000442999"
"A4GALT_P1"	"A4GALT"	"chr22"	"-"	"P1"	42720870	"ENST00000642412"
"A4GNT_P1"	"A4GNT"	"chr3"	"-"	"P1"	138132390	"ENST00000236709"
"AAAS_P1"	"AAAS"	"chr12"	"-"	"P1"	53321594	"ENST00000209873"
"AACS_P1"	"AACS"	"chr12"	"+"	"P1"	125065443	"ENST00000316519"
"AADAC_P1"	"AADAC"	"chr3"	"+"	"P1"	151814116	"ENST00000232892"
"AADACL2_P1"	"AADACL2"	"chr3"	"+"	"P1"	151733929	"ENST00000445270"
"AADACL3_P1"	"AADACL3"	"chr1"	"+"	"P1"	12716110	"ENST00000620146"
"AADACL4_P1"	"AADACL4"	"chr1"	"+"	"P1"	12644547	"ENST00000376221"
"AADAT_P1"	"AADAT"	"chr4"	"-"	"P1"	170090240	"ENST00000337664"
"AAGAB_P1"	"AAGAB"	"chr15"	"-"	"P1"	67254657	"ENST00000261880"
"AAK1_P1"	"AAK1"	"chr2"	"-"	"P1"	69643654	"ENST00000409068"
"AAMDC_P1"	"AAMDC"	"chr11"	"+"	"P1"	77821144	"ENST00000532481"
"AAMP_P1"	"AAMP"	"chr2"	"-"	"P1"	218270137	"ENST00000248450"
"AANAT_P1"	"AANAT"	"chr17"	"+"	"P1"	76467607	"ENST00000392492"
"AAR2_P1"	"AAR2"	"chr20"	"+"	"P1"	36236478	"ENST00000397286"
"AARD_P1"	"AARD"	"chr8"	"+"	"P1"	116938219	"ENST00000378279"
"AARS_P1"	"AARS"	"chr16"	"-"	"P1"	70289506	"ENST00000261772"
"AARS2_P1"	"AARS2"	"chr6"	"-"	"P1"	44313336	"ENST00000244571"
"AARSD1_P1"	"AARSD1"	"chr17"	"-"	"P1"	42964454	"ENST00000427569"
"AASDH_P1"	"AASDH"	"chr4"	"-"	"P1"	56387470	"ENST00000602986"
"AASDHPPT_P1"	"AASDHPPT"	"chr11"	"+"	"P1"	106077662	"ENST00000278618"
"AASS_P1"	"AASS"	"chr7"	"-"	"P1"	122144249	"ENST00000473553"
"AATF_P1"	"AATF"	"chr17"	"+"	"P1"	36948956	"ENST00000619387"
"AATK_P1"	"AATK"	"chr17"	"-"	"P1"	81128884	"ENST00000573469"
"AATK_P2"	"AATK"	"chr17"	"-"	"P2"	81166221	"ENST00000326724"
"ABAT_P1"	"ABAT"	"chr16"	"+"	"P1"	8674621	"ENST00000268251"
"ABAT_P2"	"ABAT"	"chr16"	"+"	"P2"	8713601	"ENST00000563215"
"ABCA1_P1"	"ABCA1"	"chr9"	"-"	"P1"	104928155	"ENST00000374736"
"ABCA10_P1"	"ABCA10"	"chr17"	"-"	"P1"	69228743	"ENST00000522406"
"ABCA12_P1"	"ABCA12"	"chr2"	"-"	"P1"	215138626	"ENST00000272895"
"ABCA13_P1"	"ABCA13"	"chr7"	"+"	"P1"	48171458	"ENST00000417403"
"ABCA2_P1"	"ABCA2"	"chr9"	"-"	"P1"	137028237	"ENST00000341511"
"ABCA3_P1"	"ABCA3"	"chr16"	"-"	"P1"	2340728	"ENST00000301732"
"ABCA4_P1"	"ABCA4"	"chr1"	"-"	"P1"	94121147	"ENST00000370225"
"ABCA5_P1"	"ABCA5"	"chr17"	"-"	"P1"	69327133	"ENST00000392676"
"ABCA6_P1"	"ABCA6"	"chr17"	"-"	"P1"	69141895	"ENST00000284425"
"ABCA7_P1"	"ABCA7"	"chr19"	"+"	"P1"	1040116	"ENST00000611490"
"ABCA7_P2(W)"	"ABCA7"	"chr19"	"+"	"P2(W)"	1041224	NA
"ABCA8_P1"	"ABCA8"	"chr17"	"-"	"P1"	68955372	"ENST00000269080"
"ABCA9_P1"	"ABCA9"	"chr17"	"-"	"P1"	69060927	"ENST00000340001"
"ABCB1_P1"	"ABCB1"	"chr7"	"-"	"P1"	87600884	"ENST00000622132"
"ABCB1_ENST00000265724(W)"	"ABCB1"	"chr7"	"-"	"ENST00000265724(W)"	87713338	NA
"ABCB10_P1"	"ABCB10"	"chr1"	"-"	"P1"	229558707	"ENST00000344517"
"ABCB11_P1"	"ABCB11"	"chr2"	"-"	"P1"	169031324	"ENST00000263817"
"ABCB4_P1"	"ABCB4"	"chr7"	"-"	"P1"	87475680	"ENST00000649586"
"ABCB5_P1"	"ABCB5"	"chr7"	"+"	"P1"	20647330	"ENST00000477094"
"ABCB6_P1"	"ABCB6"	"chr2"	"-"	"P1"	219218958	"ENST00000265316"
"ABCB7_P1"	"ABCB7"	"chrX"	"-"	"P1"	75156282	"ENST00000645829"
"ABCB8_P1"	"ABCB8"	"chr7"	"+"	"P1"	151028450	"ENST00000542328"
"ABCB9_P1"	"ABCB9"	"chr12"	"-"	"P1"	122966463	"ENST00000344275"
"ABCB9_P2"	"ABCB9"	"chr12"	"-"	"P2"	122981226	"ENST00000542678"
"ABCC1_P1"	"ABCC1"	"chr16"	"+"	"P1"	15949619	"ENST00000399410"
"ABCC10_P1"	"ABCC10"	"chr6"	"+"	"P1"	43427544	"ENST00000372515"
"ABCC11_P1"	"ABCC11"	"chr16"	"-"	"P1"	48247537	"ENST00000356608"
"ABCC12_P1"	"ABCC12"	"chr16"	"-"	"P1"	48091221	"ENST00000649885"
"ABCC12_ENST00000311303(W)"	"ABCC12"	"chr16"	"-"	"ENST00000311303(W)"	48146769	NA
"ABCC2_P1"	"ABCC2"	"chr10"	"+"	"P1"	99782761	"ENST00000648689"
"ABCC3_P1"	"ABCC3"	"chr17"	"+"	"P1"	50634881	"ENST00000515707"
"ABCC4_P1"	"ABCC4"	"chr13"	"-"	"P1"	95301437	"ENST00000645237"
"ABCC5_P1"	"ABCC5"	"chr3"	"-"	"P1"	184017884	"ENST00000334444"
"ABCC6_P3"	"ABCC6"	"chr16"	"-"	"P3"	16155776	"ENST00000576204"
"ABCC6_P2"	"ABCC6"	"chr16"	"-"	"P2"	16165943	"ENST00000640696"
"ABCC6_P4"	"ABCC6"	"chr16"	"-"	"P4"	16177521	"ENST00000576683"
"ABCC6_P1"	"ABCC6"	"chr16"	"-"	"P1"	16223464	"ENST00000205557"
"ABCC8_P1"	"ABCC8"	"chr11"	"-"	"P1"	17476845	"ENST00000644772"
"ABCC9_P1"	"ABCC9"	"chr12"	"-"	"P1"	21941424	"ENST00000326684"
"ABCD1_P1"	"ABCD1"	"chrX"	"+"	"P1"	153724856	"ENST00000218104"
"ABCD2_P1"	"ABCD2"	"chr12"	"-"	"P1"	39619803	"ENST00000308666"
"ABCD3_P1"	"ABCD3"	"chr1"	"+"	"P1"	94418392	"ENST00000647998"
"ABCD4_P1"	"ABCD4"	"chr14"	"-"	"P1"	74302973	"ENST00000356924"
"ABCE1_P1"	"ABCE1"	"chr4"	"+"	"P1"	145098314	"ENST00000296577"
"ABCF1_P1"	"ABCF1"	"chr6"	"+"	"P1"	30571451	"ENST00000326195"
"ABCF1_P2(W)"	"ABCF1"	"chr6"	"+"	"P2(W)"	30578530	NA
"ABCF2_P1"	"ABCF2"	"chr7"	"-"	"P1"	151227192	"ENST00000287844"
"ABCF3_P1"	"ABCF3"	"chr3"	"+"	"P1"	184186199	"ENST00000429586"
"ABCG1_P1"	"ABCG1"	"chr21"	"+"	"P1"	42219140	"ENST00000450121"
"ABCG2_P1"	"ABCG2"	"chr4"	"-"	"P1"	88158909	"ENST00000237612"
"ABCG4_P1"	"ABCG4"	"chr11"	"+"	"P1"	119149052	"ENST00000619701"
"ABCG5_P1"	"ABCG5"	"chr2"	"-"	"P1"	43838764	"ENST00000260645"
"ABCG8_P1"	"ABCG8"	"chr2"	"+"	"P1"	43838975	"ENST00000645013"
"ABHD1_P1"	"ABHD1"	"chr2"	"+"	"P1"	27123828	"ENST00000621324"
"ABHD10_P1"	"ABHD10"	"chr3"	"+"	"P1"	111979034	"ENST00000491580"
"ABHD11_P1"	"ABHD11"	"chr7"	"-"	"P1"	73738802	"ENST00000497897"
"ABHD12_P1"	"ABHD12"	"chr20"	"-"	"P1"	25390835	"ENST00000376542"
"ABHD12B_P1"	"ABHD12B"	"chr14"	"+"	"P1"	50872122	"ENST00000353130"
"ABHD13_P1"	"ABHD13"	"chr13"	"+"	"P1"	108218499	"ENST00000375898"
"ABHD14A_P1"	"ABHD14A"	"chr3"	"+"	"P1"	51975066	"ENST00000458031"
"ABHD15_P1"	"ABHD15"	"chr17"	"-"	"P1"	29567012	"ENST00000307201"
"ABHD16A_P1"	"ABHD16A"	"chr6"	"-"	"P1"	31703311	"ENST00000395952"
"ABHD16B_P1"	"ABHD16B"	"chr20"	"+"	"P1"	63861498	"ENST00000369916"
"ABHD17A_P1"	"ABHD17A"	"chr19"	"-"	"P1"	1885496	"ENST00000292577"
"ABHD17B_P1"	"ABHD17B"	"chr9"	"-"	"P1"	71911193	"ENST00000377041"
"ABHD17C_P1"	"ABHD17C"	"chr15"	"+"	"P1"	80695321	"ENST00000258884"
"ABHD18_P1"	"ABHD18"	"chr4"	"+"	"P1"	127965464	"ENST00000398965"
"ABHD2_P1"	"ABHD2"	"chr15"	"+"	"P1"	89088478	"ENST00000352732"
"ABHD3_P1"	"ABHD3"	"chr18"	"-"	"P1"	21704774	"ENST00000289119"
"ABHD4_P1"	"ABHD4"	"chr14"	"+"	"P1"	22598300	"ENST00000428304"
"ABHD5_P1"	"ABHD5"	"chr3"	"+"	"P1"	43690938	"ENST00000644371"
"ABHD6_P1"	"ABHD6"	"chr3"	"+"	"P1"	58237804	"ENST00000478253"
"ABHD8_P1"	"ABHD8"	"chr19"	"-"	"P1"	17303399	"ENST00000247706"
"ABI1_P1"	"ABI1"	"chr10"	"-"	"P1"	26860953	"ENST00000376170"
"ABI2_P1"	"ABI2"	"chr2"	"+"	"P1"	203328304	"ENST00000295851"
"ABI3_P1"	"ABI3"	"chr17"	"+"	"P1"	49210711	"ENST00000225941"
"ABI3BP_P1"	"ABI3BP"	"chr3"	"-"	"P1"	100993421	"ENST00000471714"
"ABL1_ENST00000372348(W)"	"ABL1"	"chr9"	"+"	"ENST00000372348(W)"	130713870	NA
"ABL1_P1"	"ABL1"	"chr9"	"+"	"P1"	130835281	"ENST00000318560"
"ABL2_P1"	"ABL2"	"chr1"	"-"	"P1"	179143074	"ENST00000344730"
